Epoch,Train ROC-AUC,Valid ROC-AUC,Test ROC-AUC,Loss
1,0.5796922698535816,0.48695569312698483,0.43371665943211163,0.5458084430205076
2,0.6640295699366824,0.6009336775821337,0.5187322198108774,0.3516972488405814
3,0.7045107930929877,0.6450346427670081,0.5360100295481127,0.3338781006567229
4,0.7175610189728111,0.6689990514610553,0.5563618028338823,0.3244912485667664
5,0.7461943149712799,0.7130152182873916,0.6175207341975009,0.3182917749559427
6,0.7627772582593143,0.7419307028025822,0.6555258487205935,0.31300916564088993
7,0.7708612858780937,0.7466978549755252,0.6581957685434447,0.3105337646487601
8,0.7724709029632437,0.7617252372040075,0.6710548481735348,0.30743532684789066
9,0.7773974545856862,0.755054720453848,0.6845468364603013,0.3062292601770901
10,0.7793181496998933,0.765400443371335,0.6949253720779963,0.3044826633269414
11,0.7798645415939861,0.7663438782152319,0.6975583646453944,0.3037632715816423
12,0.7831164376366985,0.7700264525539382,0.6897291775547394,0.3041806759747751
13,0.7834371442248481,0.7705047374134947,0.7086605866354295,0.30272502740502205
14,0.7862661172071231,0.7763785035659361,0.717674576810574,0.30221998035845127
15,0.7838106989094721,0.7699368894931115,0.6989323996721334,0.30155177242919473
16,0.7850800818192457,0.774769624706522,0.6945077665477194,0.30157841819538733
17,0.7855493376176251,0.7784559931210231,0.7065320474625202,0.30064642560817967
18,0.7862178135091881,0.7738061143475881,0.7114648788168157,0.3007880092216987
19,0.7855262984686908,0.776341878284156,0.702075130981737,0.29974360627864033
20,0.785661227907897,0.7793327977631062,0.7189159654913035,0.29983372733689023
21,0.7811097799837691,0.7676587569401699,0.6964335326948595,0.29909839948067934
22,0.7877073771867182,0.7824054391031208,0.7036873642626101,0.2983174107493227
23,0.7874451880614038,0.7691967260784963,0.7032369665028567,0.2986546256855192
24,0.7919417957598279,0.7829186979448889,0.6986674197588699,0.29752190971860604
25,0.7903100508690246,0.7827631783970468,0.6963643839865438,0.2979601472927572
26,0.7916824122509695,0.781874650008073,0.718186579104315,0.297308688735919
27,0.7896404698996212,0.7739678170671549,0.6923249422882226,0.29649744129469646
28,0.7897949180845922,0.7839556946779414,0.7047008899194792,0.2963895300459857
29,0.7882824726720452,0.773082419429361,0.6959836233213432,0.29659279881252926
30,0.791451660314477,0.7811335327856319,0.6992163036928566,0.2964154629762304
31,0.7913335861655149,0.7807345545499897,0.7025892637598766,0.29654809008371974
32,0.7885369279471046,0.7841019386570193,0.7167185418454063,0.29627073458892583
33,0.7899779320078916,0.7843574781329707,0.7069768710498997,0.29639630942078277
34,0.7891986225169653,0.7841860319553747,0.7076746318317146,0.29560607670705485
35,0.7917737912491972,0.7840695193338622,0.7001628236079566,0.29524123889937043
36,0.7919228717897395,0.7744962428313381,0.7112311292954436,0.29576651920465136
37,0.7878000680768006,0.7874636041486246,0.7191510730831828,0.29571122856534515
38,0.793339433340745,0.7819841064778602,0.7312517320974841,0.2950327116388135
39,0.7916944290380025,0.7762656343107991,0.7030850397517059,0.29449633345293297
40,0.7924384838447872,0.7854939353983638,0.6996410105401353,0.2943168004750889
